 — Historical Vacancy Rates by Bedroom Type  
2008 to 2025 Row / Apartment October
,Studio,,1 Bedroom,,2 Bedroom,,3 Bedroom +,,Total,,
2008 October,**,,**,,4.9,d ,**,,5.4,d ,
2009 October,**,,**,,**,,0.0,a ,3.1,d ,
2010 October,**,,**,,**,,**,,10.4,d ,
2011 October,**,,**,,10.1,d ,**,,8.6,c ,
2012 October,**,,0.0,d ,2.6,c ,**,,1.9,c ,
2013 October,**,,**,,**,,**,,2.9,c ,
2014 October,**,,**,,0.0,d ,**,,1.0,a ,
2015 October,**,,**,,0.0,d ,**,,**,,
2016 October,**,,0.0,d ,0.0,d ,**,,0.0,d ,
2017 October,**,,0.0,d ,**,,**,,**,,
2018 October,**,,0.0,d ,0.0,d ,**,,0.0,d ,
2019 October,**,,18.3,a ,**,,**,,10.0,b ,
2020 October,**,,0.0,d ,0.0,d ,**,,0.0,d ,
2021 October,**,,0.0,d ,**,,**,,**,,
2022 October,**,,0.0,d ,0.0,d ,**,,0.0,d ,
2023 October,**,,0.0,d ,0.0,d ,**,,0.0,d ,
2024 October,**,,0.0,d ,0.0,d ,**,,0.0,d ,
2025 October,**,,0.0,d ,0.0,d ,**,,0.0,d ,

Notes
"The following letter codes are used to indicate the reliability of the estimates: a — Excellent, b — Very good, c — Good, d — Poor (Use with Caution))"
** — Data suppressed to protect confidentiality or data not statistically reliable
++ — Change in rent is not statistically significant. This means that the change in rent is not statistically different than zero (0). (Applies only to % Change of Average Rent Tables).
Source,CMHC Rental Market Survey
